record_id,canonical_key,certification,type,issuer,where,level,issue_date,expiration_date,renewal_date,status,public_credential_id,verification_url,status_confidence,identity_confidence,record_confidence,evidence_coverage,decision,confidence_reasons,source_urls,retrieved_at
rec-7b412153b35543f5,credly.com|badge|d42b49f9-8289-496d-bbaa-5b083ce2e9f1,Microsoft Global Hackathon 2025,Participation Badge,The Microsoft Garage,The Microsoft Garage via Credly,,2025-08-28,,,Accepted and public,,https://www.credly.com/badges/d42b49f9-8289-496d-bbaa-5b083ce2e9f1/public_url,1.0,0.8733,1.0,0.45,include,name=1.00;topic=0.70;timeline=1.00;creator_role=1.00;cross_source=0.40,https://www.credly.com/badges/d42b49f9-8289-496d-bbaa-5b083ce2e9f1/public_url;https://www.credly.com/users/vaideeswaran-ganesan/badges;https://www.credly.com/users/vaideeswaran-ganesan/badges.json,2026-08-07T17:40:00Z
rec-8bca84ac6ce4bffc,credly.com|badge|9e220b1a-6620-45ce-a05b-6d1ee49d0142,Microsoft Global Hackathon 2022,Participation Badge,The Microsoft Garage,The Microsoft Garage via Credly,,2022-08-25,,,Accepted and public,,https://www.credly.com/badges/9e220b1a-6620-45ce-a05b-6d1ee49d0142/public_url,1.0,0.8733,1.0,0.45,include,name=1.00;topic=0.70;timeline=1.00;creator_role=1.00;cross_source=0.40,https://www.credly.com/badges/9e220b1a-6620-45ce-a05b-6d1ee49d0142/public_url;https://www.credly.com/users/vaideeswaran-ganesan/badges;https://www.credly.com/users/vaideeswaran-ganesan/badges.json,2026-08-07T17:40:00Z
rec-f8c5ef6f81e67373,credly.com|badge|5afe34f9-41a0-4810-a0aa-2dbd1a26e614,Microsoft Global Hackathon 2023,Participation Badge,The Microsoft Garage,The Microsoft Garage via Credly,,2023-08-24,,,Accepted and public,,https://www.credly.com/badges/5afe34f9-41a0-4810-a0aa-2dbd1a26e614/public_url,1.0,0.8733,1.0,0.45,include,name=1.00;topic=0.70;timeline=1.00;creator_role=1.00;cross_source=0.40,https://www.credly.com/badges/5afe34f9-41a0-4810-a0aa-2dbd1a26e614/public_url;https://www.credly.com/users/vaideeswaran-ganesan/badges;https://www.credly.com/users/vaideeswaran-ganesan/badges.json,2026-08-07T17:40:00Z
