record_id,canonical_key,title,published_date,type,domain,website,publisher,authors,document_id,doi,revision,canonical_url,content_hash,identity_confidence,record_confidence,evidence_coverage,decision,confidence_reasons,source_urls,retrieved_at
rec-451113753baf6712,white-paper|fingerprint|monitoring-dell-hardware-with-hp-systems-insight-manager|dell-inc|2013-01|971c992744193a7a5fc25ac6977e31ebe3f6594149f8cf5f9d9ef13342129afc,Monitoring Dell Hardware with HP Systems Insight Manager,January 2013,Technical White Paper,"Dell hardware monitoring, HP Systems Insight Manager, and Dell OpenManage Connections",https://www.scribd.com/document/142888174/Monitoring-Dell-Hardware-With-HP-Systems-Insight-Manager-1-pdf,Dell Inc.,Ajith George;Vaideeswaran Ganesan,,,1.0,,,1.0,0.425,0.64,include,name=1.00;affiliation=1.00;topic=1.00;creator_role=1.00,https://www.scribd.com/document/142888174/Monitoring-Dell-Hardware-With-HP-Systems-Insight-Manager-1-pdf,2026-08-07T17:40:00Z
rec-74f7e17cc678f23a,white-paper|fingerprint|scalability-with-dell-emc-openmanage-integration-with-microsoft-system-center-for-system-center-operations-manager|dell-inc-dell-emc|2021-01-18|0264a84f1b7eccd8e79700447fa1db85362248867704855c6b039cde8d624ef2,Scalability with Dell EMC OpenManage Integration with Microsoft System Center for System Center Operations Manager,"January 18, 2021",Technical White Paper,"Dell OpenManage integration, Microsoft System Center Operations Manager, scalability and systems management",https://dl.dell.com/manuals/all-products/esuprt_software_int/esuprt_software_ent_systems_mgmt/openmanage-integration-microsoft-scom-v73_White-Papers_en-us.pdf,Dell Inc./Dell EMC,Manoj Poonia;Vaideeswaran Ganesan,,,A01 / v7.3,https://dl.dell.com/manuals/all-products/esuprt_software_int/esuprt_software_ent_systems_mgmt/openmanage-integration-microsoft-scom-v73_White-Papers_en-us.pdf,,0.8659,0.95,0.91,include,name=1.00;affiliation=1.00;collaborators=0.70;topic=0.70;creator_role=1.00;cross_source=0.90,https://dl.dell.com/manuals/all-products/esuprt_software_int/esuprt_software_ent_systems_mgmt/openmanage-integration-microsoft-scom-v73_White-Papers_en-us.pdf;https://dl.dell.com/manuals/all-products/esuprt_software_int/esuprt_software_ent_systems_mgmt/server-management-pack-suite-v72_White-Papers_en-us.pdf,2026-08-07T17:40:00Z
