Certification,Published Date,Type,Where
Microsoft Global Hackathon 2022,2022-08-25,Participation Badge,The Microsoft Garage via Credly
Microsoft Global Hackathon 2023,2023-08-24,Participation Badge,The Microsoft Garage via Credly
Microsoft Global Hackathon 2025,2025-08-28,Participation Badge,The Microsoft Garage via Credly
